220,9,-37,0,2
204,1,-43,0,4
212,6,-35,0,1
278,31,-8,0,1
239,15,-42,0,2
244,18,-40,0,2
241,17,-42,0,2
245,19,-27,0,3
206,3,-44,0,1
296,42,-11,0,2
93,-1,-5,0,4
221,9,-31,0,2
275,30,-14,0,2
240,17,-44,0,4
237,15,-44,0,3
273,30,-29,0,1
205,2,-46,0,2
101,0,-29,0,4
304,46,-18,0,4
218,7,-3,0,1
235,14,-41,0,2
232,14,-45,0,1
292,41,-3,0,3
215,7,-34,0,3
261,27,-32,0,1
300,44,-34,0,2
258,25,-7,0,2
286,36,-28,0,1
295,42,-12,0,3
289,40,-33,0,4
226,10,-8,0,4
238,15,-43,0,4
216,7,-31,0,4
256,24,-37,0,4
234,14,-42,0,1
230,13,-7,0,1
214,7,-38,0,1
209,5,-29,0,2
291,40,-32,0,3
211,5,-42,0,4
299,43,-19,0,1
207,3,-41,0,1
303,46,-35,0,1
284,35,-27,0,3
246,19,-10,0,4
288,36,-20,0,4
227,12,-28,0,2
298,43,-34,0,1
293,42,-18,0,2
287,36,-21,0,2
231,13,-40,0,2
228,12,-5,0,2
280,32,-7,0,2
249,22,-30,0,1
252,23,-38,0,3
262,27,-31,0,4
279,32,-28,0,4
269,28,-27,0,1
213,6,-39,0,2
222,9,-30,0,1
243,18,-41,0,3
263,27,-28,0,3
301,44,-26,0,3
302,44,-4,0,2
276,31,-29,0,2
305,46,-6,0,2
281,32,-19,0,4
236,15,-45,0,2
290,38,-38,0,2
266,27,-5,0,1
233,14,-44,0,2
282,33,-28,0,1
200,0,-12,0,1
297,42,-9,0,4
